"","client","signaleringid","indicatorid","waarde","argument","naam","gewicht","eindresultaat","succes","toelichting","Datasource1","Interface1","Time","Year","Quarter","Month","MonthName","Week","WeekDay","DayMonth","DayYear","TimeJS","YearWeek","eindargumentatie","MS","Oncology","CV","PAH","signalering_eindresultaat"
"17","",651484,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-01 13:34:06,2014,1,1,"January","01","Wednesday",1,1,1388583246.197,"2014.01","CSR","","","","Damage",5
"18","",651546,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-02 09:12:17,2014,1,1,"January","01","Thursday",2,2,1388653937.42,"2014.01","CSR","","","","Damage",5
"77","",653170,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-02 11:03:22,2014,1,1,"January","01","Thursday",2,2,1388660602.663,"2014.01","CSR","","","","Damage",5
"78","",653208,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-02 12:13:28,2014,1,1,"January","01","Thursday",2,2,1388664808.06,"2014.01","CSR","","","","Damage",5
"79","",653261,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-02 13:40:33,2014,1,1,"January","01","Thursday",2,2,1388670033.517,"2014.01","CSR","","","","Damage",5
"80","",653374,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-02 17:17:36,2014,1,1,"January","01","Thursday",2,2,1388683056.05,"2014.01","CSR","","","","Damage",5
"83","",653401,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-02 18:50:22,2014,1,1,"January","01","Thursday",2,2,1388688622.55,"2014.01","CSR","","","","Damage",106
"87","",653475,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-03 09:37:11,2014,1,1,"January","01","Friday",3,3,1388741831.763,"2014.01","CSR","","","","Damage",17
"88","",653480,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-03 09:45:51,2014,1,1,"January","01","Friday",3,3,1388742351.463,"2014.01","CSR","","","","Damage",5
"135","",655255,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-03 11:43:46,2014,1,1,"January","01","Friday",3,3,1388749426.283,"2014.01","CSR","","","","Damage",41
"136","",655265,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-03 11:57:13,2014,1,1,"January","01","Friday",3,3,1388750233.3,"2014.01","Other","","","","Damage",5
"138","",655384,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-03 15:23:27,2014,1,1,"January","01","Friday",3,3,1388762607,"2014.01","CSR","","","","Damage",6
"140","",655472,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-03 18:00:44,2014,1,1,"January","01","Friday",3,3,1388772044.14,"2014.01","CSR","","","","Damage",105
"142","",655648,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-04 14:20:17,2014,1,1,"January","01","Saturday",4,4,1388845217.177,"2014.01","CSR","","","","Damage",105
"143","",655649,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-04 14:21:24,2014,1,1,"January","01","Saturday",4,4,1388845284.87,"2014.01","CSR","","","","Damage",5
"144","",655651,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-04 14:37:49,2014,1,1,"January","01","Saturday",4,4,1388846269.017,"2014.01","Submission","","","","Damage",5
"145","",655658,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-04 15:05:59,2014,1,1,"January","01","Saturday",4,4,1388847959.13,"2014.01","CSR","","","","Damage",5
"147","",655663,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-04 15:29:41,2014,1,1,"January","01","Saturday",4,4,1388849381.46,"2014.01","CSR","","","","Damage",40
"149","",655668,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-04 15:47:48,2014,1,1,"January","01","Saturday",4,4,1388850468.88,"2014.01","CSR","","","","Damage",6
"151","",655719,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-04 19:25:10,2014,1,1,"January","01","Saturday",4,4,1388863510.38,"2014.01","CSR","","","","Damage",6
"153","",655742,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-04 21:23:39,2014,1,1,"January","01","Saturday",4,4,1388870619.27,"2014.01","Other","","","","Damage",110
"156","",655791,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-05 15:12:07,2014,1,1,"January","01","Sunday",5,5,1388934727.553,"2014.01","CSR","","","","Damage",106
"157","",655815,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-05 18:07:12,2014,1,1,"January","01","Sunday",5,5,1388945232.05,"2014.01","CSR","","","","Damage",5
"159","",655849,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-05 20:56:18,2014,1,1,"January","01","Sunday",5,5,1388955378.24,"2014.01","CSR","","","","Damage",105
"161","",655882,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-06 08:48:29,2014,1,1,"January","01","Monday",6,6,1388998109.943,"2014.01","CSR","","","","Damage",6
"162","",655900,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 09:51:22,2014,1,1,"January","01","Monday",6,6,1389001882.1,"2014.01","CSR","","","","Damage",5
"163","",655905,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 09:56:54,2014,1,1,"January","01","Monday",6,6,1389002214.303,"2014.01","CSR","","","","Damage",5
"165","",655929,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-06 10:01:52,2014,1,1,"January","01","Monday",6,6,1389002512.147,"2014.01","CSR","","","","Damage",6
"166","",655933,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 10:02:00,2014,1,1,"January","01","Monday",6,6,1389002520.803,"2014.01","CSR","","","","Damage",5
"196","",657223,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 10:45:00,2014,1,1,"January","01","Monday",6,6,1389005100.227,"2014.01","CSR","","","","Damage",110
"218","",657747,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-06 11:01:48,2014,1,1,"January","01","Monday",6,6,1389006108.17,"2014.01","CSR","","","","Damage",110
"236","",658241,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 12:33:12,2014,1,1,"January","01","Monday",6,6,1389011592.457,"2014.01","CSR","","","","Damage",105
"237","",658243,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-06 12:36:40,2014,1,1,"January","01","Monday",6,6,1389011800.723,"2014.01","CSR","","","","Damage",5
"239","",658350,505,100,"Outsource","CRO1",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-06 15:24:07,2014,1,1,"January","01","Monday",6,6,1389021847.89,"2014.01","CSR","","","","Damage",105
"241","",658373,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-06 16:18:09,2014,1,1,"January","01","Monday",6,6,1389025089.31,"2014.01","CSR","","","","Damage",6
"242","",658428,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-06 17:45:58,2014,1,1,"January","01","Monday",6,6,1389030358.493,"2014.01","CSR","","","","Damage",5
"244","",658432,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-06 18:02:27,2014,1,1,"January","01","Monday",6,6,1389031347.757,"2014.01","CSR","","","","Damage",6
"245","",658458,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-06 19:26:33,2014,1,1,"January","01","Monday",6,6,1389036393.22,"2014.01","CSR","","","","Damage",5
"247","",658496,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-06 22:15:07,2014,1,1,"January","01","Monday",6,6,1389046507.29,"2014.01","CSR","","","","Damage",6
"277","",659616,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-07 10:33:27,2014,1,1,"January","02","Tuesday",7,7,1389090807.817,"2014.02","CSR","","","","Damage",105
"318","",660895,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-07 13:22:09,2014,1,1,"January","02","Tuesday",7,7,1389100929.533,"2014.02","CSR","","","","Damage",15
"320","",660908,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-07 14:01:10,2014,1,1,"January","02","Tuesday",7,7,1389103270.193,"2014.02","CSR","","","","Damage",9
"322","",660946,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-07 15:54:40,2014,1,1,"January","02","Tuesday",7,7,1389110080.19,"2014.02","CSR","","","","Damage",6
"324","",660953,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-07 16:07:52,2014,1,1,"January","02","Tuesday",7,7,1389110872.25,"2014.02","CSR","","","","Damage",105
"325","",660965,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-07 16:24:27,2014,1,1,"January","02","Tuesday",7,7,1389111867.75,"2014.02","CSR","","","","Damage",5
"328","",660973,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-07 16:37:15,2014,1,1,"January","02","Tuesday",7,7,1389112635.683,"2014.02","CSR","","","","Damage",44
"340","",661705,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-07 19:25:20,2014,1,1,"January","02","Tuesday",7,7,1389122720.27,"2014.02","CSR","","","","Damage",114
"342","",661770,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-07 23:43:09,2014,1,1,"January","02","Tuesday",7,7,1389138189.65,"2014.02","Submission","","","","Damage",105
"343","",661889,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-08 12:40:26,2014,1,1,"January","02","Wednesday",8,8,1389184826.21,"2014.02","CSR","","","","Damage",5
"344","",661899,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-08 13:16:23,2014,1,1,"January","02","Wednesday",8,8,1389186983.393,"2014.02","CSR","","","","Damage",5
"346","",661922,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-08 13:57:11,2014,1,1,"January","02","Wednesday",8,8,1389189431.727,"2014.02","CSR","","","","Damage",20
"348","",661960,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-08 15:08:59,2014,1,1,"January","02","Wednesday",8,8,1389193739.113,"2014.02","CSR","","","","Damage",105
"375","",663767,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-09 11:55:51,2014,1,1,"January","02","Thursday",9,9,1389268551.737,"2014.02","CSR","","","","Damage",24
"377","",663770,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-09 12:11:55,2014,1,1,"January","02","Thursday",9,9,1389269515.927,"2014.02","CSR","","","","Damage",110
"378","",663813,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-09 14:11:13,2014,1,1,"January","02","Thursday",9,9,1389276673.443,"2014.02","CSR","","","","Damage",5
"379","",663869,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-09 16:00:32,2014,1,1,"January","02","Thursday",9,9,1389283232.157,"2014.02","CSR","","","","Damage",5
"423","",665502,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-09 20:55:21,2014,1,1,"January","02","Thursday",9,9,1389300921.797,"2014.02","CSR","","","","Damage",5
"425","",665571,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-10 10:18:41,2014,1,1,"January","02","Friday",10,10,1389349121.97,"2014.02","CSR","","","","Damage",14
"426","",665600,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-10 11:46:36,2014,1,1,"January","02","Friday",10,10,1389354396.627,"2014.02","CSR","","","","Damage",5
"427","",665611,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-10 12:46:16,2014,1,1,"January","02","Friday",10,10,1389357976.873,"2014.02","CSR","","","","Damage",5
"429","",665612,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-10 12:48:53,2014,1,1,"January","02","Friday",10,10,1389358133.377,"2014.02","CSR","","","","Damage",6
"432","",665732,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-10 17:00:09,2014,1,1,"January","02","Friday",10,10,1389373209.163,"2014.02","Submission","","","","Damage",106
"435","",665765,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-10 17:01:23,2014,1,1,"January","02","Friday",10,10,1389373283.11,"2014.02","Other","","","","Damage",106
"461","",666678,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-11 12:25:15,2014,1,1,"January","02","Saturday",11,11,1389443115.167,"2014.02","CSR","","","","Damage",110
"463","",666703,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-11 13:26:42,2014,1,1,"January","02","Saturday",11,11,1389446802.073,"2014.02","CSR","","","","Damage",20
"464","",666767,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-11 16:57:53,2014,1,1,"January","02","Saturday",11,11,1389459473.183,"2014.02","CSR","","","","Damage",5
"466","",666782,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-11 17:43:15,2014,1,1,"January","02","Saturday",11,11,1389462195.437,"2014.02","CSR","","","","Damage",105
"468","",666823,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-11 22:28:28,2014,1,1,"January","02","Saturday",11,11,1389479308.703,"2014.02","CSR","","","","Damage",105
"470","",666825,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-11 23:02:34,2014,1,1,"January","02","Saturday",11,11,1389481354.97,"2014.02","CSR","","","","Damage",105
"472","",666887,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-12 12:48:29,2014,1,1,"January","02","Sunday",12,12,1389530909.27,"2014.02","Submission","","","","Damage",105
"473","",667016,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-13 09:41:01,2014,1,1,"January","02","Monday",13,13,1389606061.167,"2014.02","Submission","","","","Damage",5
"475","",667021,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-13 09:51:48,2014,1,1,"January","02","Monday",13,13,1389606708.363,"2014.02","Other","","","","Damage",14
"476","",667041,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-13 10:29:36,2014,1,1,"January","02","Monday",13,13,1389608976.77,"2014.02","CSR","","","","Damage",5
"478","",667142,505,100,"Outsource","CRO1",1,5,"NULL","NULL","R_model","RServe interface",2014-01-13 14:03:23,2014,1,1,"January","02","Monday",13,13,1389621803.503,"2014.02","CSR","","","","Damage",15
"479","",667157,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-13 14:42:33,2014,1,1,"January","02","Monday",13,13,1389624153.48,"2014.02","Other","","","","Damage",5
"504","",668427,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-13 17:37:39,2014,1,1,"January","02","Monday",13,13,1389634659.493,"2014.02","CSR","","","","Damage",6
"507","",668448,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-13 18:53:30,2014,1,1,"January","02","Monday",13,13,1389639210.35,"2014.02","CSR","","","","Damage",111
"509","",668449,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-13 18:54:25,2014,1,1,"January","02","Monday",13,13,1389639265.427,"2014.02","Other","","","","Damage",105
"510","",668465,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-13 19:44:44,2014,1,1,"January","02","Monday",13,13,1389642284.143,"2014.02","CSR","","","","Damage",5
"511","",668485,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-13 20:43:42,2014,1,1,"January","02","Monday",13,13,1389645822.703,"2014.02","CSR","","","","Damage",5
"513","",668523,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-13 23:29:29,2014,1,1,"January","02","Monday",13,13,1389655769.09,"2014.02","CSR","","","","Damage",6
"514","",668531,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-14 07:23:04,2014,1,1,"January","03","Tuesday",14,14,1389684184.93,"2014.03","Submission","","","","Damage",5
"515","",668573,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-14 10:52:59,2014,1,1,"January","03","Tuesday",14,14,1389696779.05,"2014.03","Other","","","","Damage",5
"516","",668599,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-14 12:28:06,2014,1,1,"January","03","Tuesday",14,14,1389702486.443,"2014.03","CSR","","","","Damage",5
"517","",668619,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-14 13:16:14,2014,1,1,"January","03","Tuesday",14,14,1389705374.28,"2014.03","CSR","","","","Damage",5
"518","",668657,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-14 14:49:13,2014,1,1,"January","03","Tuesday",14,14,1389710953.463,"2014.03","CSR","","","","Damage",5
"519","",668672,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-14 15:32:34,2014,1,1,"January","03","Tuesday",14,14,1389713554.503,"2014.03","CSR","","","","Damage",5
"522","",668701,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-14 16:06:31,2014,1,1,"January","03","Tuesday",14,14,1389715591.143,"2014.03","Other","","","","Damage",111
"549","",670046,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-15 12:07:59,2014,1,1,"January","03","Wednesday",15,15,1389787679.15,"2014.03","CSR","","","","Damage",5
"550","",670175,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-15 16:12:16,2014,1,1,"January","03","Wednesday",15,15,1389802336.02,"2014.03","Other","","","","Damage",5
"551","",670186,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-15 16:35:17,2014,1,1,"January","03","Wednesday",15,15,1389803717.94,"2014.03","CSR","","","","Damage",5
"552","",670198,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-15 16:48:54,2014,1,1,"January","03","Wednesday",15,15,1389804534.923,"2014.03","Other","","","","Damage",5
"555","",670368,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-15 17:05:01,2014,1,1,"January","03","Wednesday",15,15,1389805501.19,"2014.03","CSR","","","","Damage",41
"559","",670439,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_x","RServe interface",2014-01-15 17:06:56,2014,1,1,"January","03","Wednesday",15,15,1389805616.767,"2014.03","CSR","","","","Damage",44
"579","",671091,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-15 20:38:22,2014,1,1,"January","03","Wednesday",15,15,1389818302.523,"2014.03","CSR","","","","Damage",5
"582","",671115,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-16 00:19:59,2014,1,1,"January","03","Thursday",16,16,1389831599.37,"2014.03","CSR","","","","Damage",106
"583","",671228,505,100,"In-House","Janssen",1,5,"NULL","NULL","R_model","RServe interface",2014-01-16 14:06:22,2014,1,1,"January","03","Thursday",16,16,1389881182.737,"2014.03","CSR","","","","Damage",5
"586","",671259,505,100,"In-House","Janssen",1,5,"NULL","NULL","claim_history","RServe interface",2014-01-16 15:18:53,2014,1,1,"January","03","Thursday",16,16,1389885533.76,"2014.03","Other","","","","Damage",44
"591","",671277,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_y","RServe interface",2014-01-16 15:50:24,2014,1,1,"January","03","Thursday",16,16,1389887424.81,"2014.03","CSR","","","","Damage",212
"613","",672212,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-16 18:18:41,2014,1,1,"January","03","Thursday",16,16,1389896321.123,"2014.03","CSR","","","","Damage",5
"616","",672434,505,100,"In-House","Janssen",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-17 14:28:54,2014,1,1,"January","03","Friday",17,17,1389968934.937,"2014.03","Submission","","","","Damage",114
"617","",672441,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-17 14:36:26,2014,1,1,"January","03","Friday",17,17,1389969386.07,"2014.03","CSR","","","","Damage",5
"645","",673427,505,100,"Outsource","CRO1",1,5,"NULL","NULL","R_model","RServe interface",2014-01-17 19:10:54,2014,1,1,"January","03","Friday",17,17,1389985854.957,"2014.03","Other","","","","Damage",41
"646","",673479,505,100,"Outsource","CRO1",1,5,"NULL","NULL","datasource_z","RServe interface",2014-01-18 10:54:27,2014,1,1,"January","03","Saturday",18,18,1390042467.383,"2014.03","Submission","","","","Damage",5
