Client;signaleringid;indicatorid;waarde;argument;naam;gewicht;eindresultaat;succes;toelichting;Datasource1;Interface1;Time;Year;Quarter;Month;MonthName;Week;WeekDay;DayMonth;DayYear;TimeJS;YearWeek;eindargumentatie;MS;Oncology;CV;PAH;signalering_eindresultaat
17;651484;505;100;Outsourced;CRO 2;1;5;NULL;NULL;R_model;RServe interface;01.01.2014 13:34;2014;1;1;January;1;Wednesday;1;1;1388583246;2014.01;CSR;;;;Damage;5
18;651546;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;02.01.2014 09:12;2014;1;1;January;1;Thursday;2;2;1388653937;2014.01;CSR;;;;Damage;5
77;653170;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;02.01.2014 11:03;2014;1;1;January;1;Thursday;2;2;1388660603;2014.01;CSR;;;;Damage;5
78;653208;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;02.01.2014 12:13;2014;1;1;January;1;Thursday;2;2;1388664808;2014.01;CSR;;;;Damage;5
79;653261;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;02.01.2014 13:40;2014;1;1;January;1;Thursday;2;2;1388670034;2014.01;CSR;;;;Damage;5
80;653374;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;02.01.2014 17:17;2014;1;1;January;1;Thursday;2;2;1388683056;2014.01;CSR;;;;Damage;5
83;653401;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;02.01.2014 18:50;2014;1;1;January;1;Thursday;2;2;1388688623;2014.01;CSR;;;;Damage;106
87;653475;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;03.01.2014 09:37;2014;1;1;January;1;Friday;3;3;1388741832;2014.01;CSR;;;;Damage;17
88;653480;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;03.01.2014 09:45;2014;1;1;January;1;Friday;3;3;1388742351;2014.01;CSR;;;;Damage;5
135;655255;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;03.01.2014 11:43;2014;1;1;January;1;Friday;3;3;1388749426;2014.01;CSR;;;;Damage;41
136;655265;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;03.01.2014 11:57;2014;1;1;January;1;Friday;3;3;1388750233;2014.01;Other;;;;Damage;5
138;655384;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;03.01.2014 15:23;2014;1;1;January;1;Friday;3;3;1388762607;2014.01;CSR;;;;Damage;6
140;655472;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;03.01.2014 18:00;2014;1;1;January;1;Friday;3;3;1388772044;2014.01;CSR;;;;Damage;105
142;655648;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;04.01.2014 14:20;2014;1;1;January;1;Saturday;4;4;1388845217;2014.01;CSR;;;;Damage;105
143;655649;505;100;In House;Jansen;1;5;NULL;NULL;R_model;RServe interface;04.01.2014 14:21;2014;1;1;January;1;Saturday;4;4;1388845285;2014.01;CSR;;;;Damage;5
144;655651;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;04.01.2014 14:37;2014;1;1;January;1;Saturday;4;4;1388846269;2014.01;Submission;;;;Damage;5
145;655658;505;100;Outsourced;CRO 2;1;5;NULL;NULL;R_model;RServe interface;04.01.2014 15:05;2014;1;1;January;1;Saturday;4;4;1388847959;2014.01;CSR;;;;Damage;5
147;655663;505;100;Outsourced;CRO 1;1;5;NULL;NULL;datasource_z;RServe interface;04.01.2014 15:29;2014;1;1;January;1;Saturday;4;4;1388849381;2014.01;CSR;;;;Damage;40
149;655668;505;100;Outsourced;CRO 2;1;5;NULL;NULL;claim_history;RServe interface;04.01.2014 15:47;2014;1;1;January;1;Saturday;4;4;1388850469;2014.01;CSR;;;;Damage;6
151;655719;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;04.01.2014 19:25;2014;1;1;January;1;Saturday;4;4;1388863510;2014.01;CSR;;;;Damage;6
153;655742;505;100;Outsourced;CRO 1;1;5;NULL;NULL;claim_history;RServe interface;04.01.2014 21:23;2014;1;1;January;1;Saturday;4;4;1388870619;2014.01;Other;;;;Damage;110
156;655791;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;05.01.2014 15:12;2014;1;1;January;1;Sunday;5;5;1388934728;2014.01;CSR;;;;Damage;106
157;655815;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;05.01.2014 18:07;2014;1;1;January;1;Sunday;5;5;1388945232;2014.01;CSR;;;;Damage;5
159;655849;505;100;In House;Jansen;1;5;NULL;NULL;datasource_y;RServe interface;05.01.2014 20:56;2014;1;1;January;1;Sunday;5;5;1388955378;2014.01;CSR;;;;Damage;105
161;655882;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_x;RServe interface;06.01.2014 08:48;2014;1;1;January;1;Monday;6;6;1388998110;2014.01;CSR;;;;Damage;6
162;655900;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 09:51;2014;1;1;January;1;Monday;6;6;1389001882;2014.01;CSR;;;;Damage;5
163;655905;505;100;Outsourced;CRO 2;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 09:56;2014;1;1;January;1;Monday;6;6;1389002214;2014.01;CSR;;;;Damage;5
165;655929;505;100;In House;Jansen;1;5;NULL;NULL;datasource_x;RServe interface;06.01.2014 10:01;2014;1;1;January;1;Monday;6;6;1389002512;2014.01;CSR;;;;Damage;6
166;655933;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 10:02;2014;1;1;January;1;Monday;6;6;1389002521;2014.01;CSR;;;;Damage;5
196;657223;505;100;In House;Jansen;1;5;NULL;NULL;datasource_z;RServe interface;06.01.2014 10:45;2014;1;1;January;1;Monday;6;6;1389005100;2014.01;CSR;;;;Damage;110
218;657747;505;100;In House;Jansen;1;5;NULL;NULL;claim_history;RServe interface;06.01.2014 11:01;2014;1;1;January;1;Monday;6;6;1389006108;2014.01;CSR;;;;Damage;110
